"uid","domainID","siteID","plotID","trapCoordinate","nlcdClass","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","elevation","elevationUncertainty","date","eventID","individualID","taxonID","scientificName","taxonRank","identificationQualifier","identificationStatus","sex","reproductiveCondition","recapture","fate","replacedTag","lifeStage","testes","nipples","pregnancyStatus","vagina","hindfootLength","earLength","tailLength","totalLength","weight","bloodSampleID","bloodSampleMethod","fecalSampleID","fecalSampleCondition","earSampleID","hairSampleID","whiskerSampleID","voucherSampleID","measuredBy","recordedBy","remarks","consistencyTagIDSexQF","consistencyTagIDTaxonIDQF","consistencyTagIDLifeStageQF","orderTagIDRecaptureQF","orderTagIDLifeStageQF"
"F3B894950A1849ADB95D5C6583F39671","D05","UNDE","UNDE_001","I3",,46.235551,-89.558649,"WGS84",,507.0,,"2014-09-17","MAM.UNDE.2014.10",,"BLBR","Blarina brevicauda","species",," ",,"N","N",,,"adult",,,"not",,,,,,,,,,,,,,,"rybQeZFt2hNbuE4g+4K5I4pcOHFBW8OX","HkgB9rbGL3jXcg4e9HC7o3e2Xs/NOa59",,-1,-1,-1,-1,-1
"F3F01C0A1DED44F0B2527495D262EF44","D05","UNDE","UNDE_001","G8",,46.235122,-89.558989,"WGS84",,507.0,,"2014-09-17","MAM.UNDE.2014.10",,"BLBR","Blarina brevicauda","species",," ",,"N","N",,,"adult",,,"not",,,,,,,,,,,,,,,"rybQeZFt2hNbuE4g+4K5I4pcOHFBW8OX","HkgB9rbGL3jXcg4e9HC7o3e2Xs/NOa59",,-1,-1,-1,-1,-1
"B6B8C5D9F1EC4372892B1C0187144E3D","D05","UNDE","UNDE_008","E8",,46.255516,-89.513263,"WGS84",,518.0,,"2014-09-18","MAM.UNDE.2014.10",,"BLBR","Blarina brevicauda","species",," ",,"N","N",,,"adult",,,"not",,,,,,,,,,,,,,,"8VgYQNYd2hfIfpDikn+YVC7x9y2g8nmP","rybQeZFt2hNbuE4g+4K5I4pcOHFBW8OX",,-1,-1,-1,-1,-1
"523C61898D72491282CCDA27EA79F800","D05","UNDE","UNDE_008","D1",,46.256159,-89.513280,"WGS84",,518.0,,"2014-09-18","MAM.UNDE.2014.10","NEON.MAM.D05.O008D1","BLBR","Blarina brevicauda","species",," ",,"N","N","dead",,"adult",,,"not",,,,,,,,,,,,,,"UNDE.20140918.O008D1.V","8VgYQNYd2hfIfpDikn+YVC7x9y2g8nmP","rybQeZFt2hNbuE4g+4K5I4pcOHFBW8OX",,0,0,0,-1,0
"CFD5B3B344CC413F865489EB797B2470","D05","UNDE","UNDE_008","G2",,46.256035,-89.512906,"WGS84",,518.0,,"2014-09-18","MAM.UNDE.2014.10","NEON.MAM.D05.O008G2","BLBR","Blarina brevicauda","species",," ",,"N","Y","dead",,,,,"not",,,,,,,,,,,,,,"UNDE.20140918.O008G2.V","8VgYQNYd2hfIfpDikn+YVC7x9y2g8nmP","rybQeZFt2hNbuE4g+4K5I4pcOHFBW8OX",,0,0,0,-1,0
"8A230A5D29434025863F6736CC56FF06","D05","UNDE","UNDE_008","E5","mixedForest",46.255793,-89.513196,"WGS84",0.1,511.6,0.2,"2014-09-18","MAM.UNDE.2014.10",,"GLSP","Glaucomys sp.","genus",," ",,"N","N","nontarget",,,,,"not",,,,,,,,,,,,,,,"8VgYQNYd2hfIfpDikn+YVC7x9y2g8nmP","rybQeZFt2hNbuE4g+4K5I4pcOHFBW8OX",,-1,-1,-1,-1,-1
"EF59DB09BDB347ADBDA167C643F7C807","D05","UNDE","UNDE_032","A10",,46.243603,-89.537567,"WGS84",,504.0,,"2014-09-18","MAM.UNDE.2014.10","NEON.MAM.D05.032A10","BLBR","Blarina brevicauda","species",," ",,"N","N","dead",,"adult",,,"not",,,,,,,,,,,,,,"UNDE.20140918.032A10.V","Syw2LXB/pj+fmGCuwdgBGVryVUmYhw3g","HkgB9rbGL3jXcg4e9HC7o3e2Xs/NOa59",,0,0,0,-1,0
"3784BE93F01A4EB6A6AE61D393C2058A","D05","UNDE","UNDE_008","G6",,46.255674,-89.512971,"WGS84",,518.0,,"2014-09-18","MAM.UNDE.2014.10","NEON.MAM.D05.O008G6","SOCI","Sorex cinereus","species",," ",,"N","N","dead",,,,,"not",,,,,,,,,,,,,,"UNDE.20140918.O008G6.V","8VgYQNYd2hfIfpDikn+YVC7x9y2g8nmP","rybQeZFt2hNbuE4g+4K5I4pcOHFBW8OX",,0,0,0,-1,0
"272159E42AF24E6BAE375E942099F24D","D05","UNDE","UNDE_008","D7",,46.255617,-89.513377,"WGS84",,518.0,,"2014-09-18","MAM.UNDE.2014.10","NEON.MAM.D05.O008D7","SOCI","Sorex cinereus","species",," ",,"N","N","dead",,"adult",,,"not",,,,,,,,,,,,,,"UNDE.20140918.O008D7.V","8VgYQNYd2hfIfpDikn+YVC7x9y2g8nmP","rybQeZFt2hNbuE4g+4K5I4pcOHFBW8OX",,0,0,0,-1,0
"01FEEA0ECC5844EF8C4188AC65B0C91B","D05","UNDE","UNDE_008","G7",,46.255584,-89.512987,"WGS84",,518.0,,"2014-09-18","MAM.UNDE.2014.10","NEON.MAM.D05.0R1337","PEMA","Peromyscus maniculatus","species","cf. species"," ","M","N","Y",,,"adult","nonscrotal",,,,19.0,18.0,,,16.00,,,,,,,,,"8VgYQNYd2hfIfpDikn+YVC7x9y2g8nmP","rybQeZFt2hNbuE4g+4K5I4pcOHFBW8OX",,0,0,0,-1,0
"17687D3C4F654B25BC58B02744C8E768","D05","UNDE","UNDE_008","D4",,46.255888,-89.513329,"WGS84",,518.0,,"2014-09-18","MAM.UNDE.2014.10","NEON.MAM.D05.0R1070","TAST","Tamias striatus","species",," ","M","N","Y",,,"adult","nonscrotal",,,,32.0,,,,95.00,,,"UNDE.20140918.R1070.F","old",,,,,"8VgYQNYd2hfIfpDikn+YVC7x9y2g8nmP","rybQeZFt2hNbuE4g+4K5I4pcOHFBW8OX",,0,0,0,-1,0
